instance_id,content,pass or fail,repo
django__django-11592,"diff --git a/django/core/handlers/wsgi.py b/django/core/handlers/wsgi.py
index 1bca717304..cb740e5c50 100644
--- a/django/core/handlers/wsgi.py
+++ b/django/core/handlers/wsgi.py
@@ -141,7 +141,7 @@ class WSGIHandler(base.BaseHandler):
         ]
         start_response(status, response_headers)
         if getattr(response, 'file_to_stream', None) is not None and environ.get('wsgi.file_wrapper'):
-            response = environ['wsgi.file_wrapper'](response.file_to_stream)
+            response = environ['wsgi.file_wrapper'](response.file_to_stream, response.block_size)
         return response
 
 
",pass,django/django
django__django-12143,"diff --git a/django/contrib/admin/options.py b/django/contrib/admin/options.py
index 137e6faa0f..a100f1c499 100644
--- a/django/contrib/admin/options.py
+++ b/django/contrib/admin/options.py
@@ -1631,7 +1631,7 @@ class ModelAdmin(BaseModelAdmin):
 
     def _get_edited_object_pks(self, request, prefix):
         """"""Return POST data values of list_editable primary keys.""""""
-        pk_pattern = re.compile(r'{}-\d+-{}$'.format(prefix, self.model._meta.pk.name))
+        pk_pattern = re.compile(r'{}-\d+-{}$'.format(re.escape(prefix), self.model._meta.pk.name))
         return [value for key, value in request.POST.items() if pk_pattern.match(key)]
 
     def _get_list_editable_queryset(self, request, prefix):
",pass,django/django
django__django-12193,"diff --git a/django/forms/widgets.py b/django/forms/widgets.py
index 6fe220bea7..d82eb56fef 100644
--- a/django/forms/widgets.py
+++ b/django/forms/widgets.py
@@ -521,11 +521,13 @@ class CheckboxInput(Input):
         return str(value)
 
     def get_context(self, name, value, attrs):
+        context = super().get_context(name, value, attrs)
+        context_attrs = context['widget']['attrs']
         if self.check_test(value):
-            if attrs is None:
-                attrs = {}
-            attrs['checked'] = True
-        return super().get_context(name, value, attrs)
+            context_attrs = context_attrs.copy()
+            context_attrs['checked'] = True
+        context['widget']['attrs'] = context_attrs
+        return context
 
     def value_from_datadict(self, data, files, name):
         if name not in data:
",pass,django/django
django__django-12209,"diff --git a/django/db/models/base.py b/django/db/models/base.py
index e3b14a41a0..cc32d95875 100644
--- a/django/db/models/base.py
+++ b/django/db/models/base.py
@@ -847,13 +847,8 @@ class Model(metaclass=ModelBase):
         if not pk_set and (force_update or update_fields):
             raise ValueError(""Cannot force an update in save() with no primary key."")
         updated = False
-        # Skip an UPDATE when adding an instance and primary key has a default.
-        if (
-            not force_insert and
-            self._state.adding and
-            self._meta.pk.default and
-            self._meta.pk.default is not NOT_PROVIDED
-        ):
+        # Only force an insert if the primary key has a default and no explicit value is provided.
+        if not force_insert and self._state.adding and self._meta.pk.default and self._meta.pk.default is not NOT_PROVIDED and not pk_set:
             force_insert = True
         # If possible, try an UPDATE. If that doesn't update anything, do an INSERT.
         if pk_set and not force_insert:
",pass,django/django
django__django-12306,"diff --git a/django/db/models/fields/__init__.py b/django/db/models/fields/__init__.py
index aa21a151bc..bb025301ab 100644
--- a/django/db/models/fields/__init__.py
+++ b/django/db/models/fields/__init__.py
@@ -270,7 +270,7 @@ class Field(RegisterLookupMixin):
                     break
                 if self.max_length is not None and group_choices:
                     choice_max_length = max(
-                        choice_max_length,
+                        choice_max_length, 0,
                         *(len(value) for value, _ in group_choices if isinstance(value, str)),
                     )
             except (TypeError, ValueError):
",pass,django/django
django__django-12430,"diff --git a/django/core/cache/__init__.py b/django/core/cache/__init__.py
index a6b956fdf2..735b83e94f 100644
--- a/django/core/cache/__init__.py
+++ b/django/core/cache/__init__.py
@@ -12,7 +12,7 @@ object.
 
 See docs/topics/cache.txt for information on the public API.
 """"""
-from threading import local
+from asgiref.local import Local
 
 from django.conf import settings
 from django.core import signals
@@ -61,7 +61,7 @@ class CacheHandler:
     Ensure only one instance of each alias exists per thread.
     """"""
     def __init__(self):
-        self._caches = local()
+        self._caches = Local()
 
     def __getitem__(self, alias):
         try:
",pass,django/django
django__django-12453,"diff --git a/django/db/backends/base/creation.py b/django/db/backends/base/creation.py
index c50fc90171..86968401b0 100644
--- a/django/db/backends/base/creation.py
+++ b/django/db/backends/base/creation.py
@@ -126,8 +126,10 @@ class BaseDatabaseCreation:
         the serialize_db_to_string() method.
         """"""
         data = StringIO(data)
-        for obj in serializers.deserialize(""json"", data, using=self.connection.alias):
-            obj.save()
+        from django.db import transaction
+        with transaction.atomic(using=self.connection.alias):
+            for obj in serializers.deserialize(""json"", data, using=self.connection.alias):
+                obj.save()
 
     def _get_database_display_str(self, verbosity, database_name):
         """"""
@@ -163,6 +165,7 @@ class BaseDatabaseCreation:
         }
         # Create the test database and connect to it.
         with self._nodb_cursor() as cursor:
+            confirm = None
             try:
                 self._execute_create_test_db(cursor, test_db_params, keepdb)
             except Exception as e:
",pass,django/django
django__django-12713,"diff --git a/django/contrib/admin/options.py b/django/contrib/admin/options.py
index 69a5fbf389..b3c4020f39 100644
--- a/django/contrib/admin/options.py
+++ b/django/contrib/admin/options.py
@@ -250,15 +250,16 @@ class BaseModelAdmin(metaclass=forms.MediaDefiningClass):
         db = kwargs.get('using')
 
         autocomplete_fields = self.get_autocomplete_fields(request)
-        if db_field.name in autocomplete_fields:
-            kwargs['widget'] = AutocompleteSelectMultiple(db_field.remote_field, self.admin_site, using=db)
-        elif db_field.name in self.raw_id_fields:
-            kwargs['widget'] = widgets.ManyToManyRawIdWidget(db_field.remote_field, self.admin_site, using=db)
-        elif db_field.name in [*self.filter_vertical, *self.filter_horizontal]:
-            kwargs['widget'] = widgets.FilteredSelectMultiple(
-                db_field.verbose_name,
-                db_field.name in self.filter_vertical
-            )
+        if 'widget' not in kwargs:
+            if db_field.name in autocomplete_fields:
+                kwargs['widget'] = AutocompleteSelectMultiple(db_field.remote_field, self.admin_site, using=db)
+            elif db_field.name in self.raw_id_fields:
+                kwargs['widget'] = widgets.ManyToManyRawIdWidget(db_field.remote_field, self.admin_site, using=db)
+            elif db_field.name in [*self.filter_vertical, *self.filter_horizontal]:
+                kwargs['widget'] = widgets.FilteredSelectMultiple(
+                    db_field.verbose_name,
+                    db_field.name in self.filter_vertical
+                )
 
         if 'queryset' not in kwargs:
             queryset = self.get_field_queryset(db, db_field, request)
",pass,django/django
django__django-12803,"diff --git a/django/contrib/staticfiles/storage.py b/django/contrib/staticfiles/storage.py
index cc0f0f8e23..3338d2d7e4 100644
--- a/django/contrib/staticfiles/storage.py
+++ b/django/contrib/staticfiles/storage.py
@@ -98,10 +98,8 @@ class HashedFilesMixin:
                 content.close()
         path, filename = os.path.split(clean_name)
         root, ext = os.path.splitext(filename)
-        if file_hash is not None:
-            file_hash = "".%s"" % file_hash
-        hashed_name = os.path.join(path, ""%s%s%s"" %
-                                   (root, file_hash, ext))
+        file_hash = """" if file_hash is None else "".%s"" % file_hash
+        hashed_name = os.path.join(path, ""%s%s%s"" % (root, file_hash, ext))
         unparsed_name = list(parsed_name)
         unparsed_name[2] = hashed_name
         # Special casing for a @font-face hack, like url(myfont.eot?#iefix"")
",pass,django/django
django__django-13022,"diff --git a/django/core/cache/backends/base.py b/django/core/cache/backends/base.py
index 8322172fc1..31eac8915d 100644
--- a/django/core/cache/backends/base.py
+++ b/django/core/cache/backends/base.py
@@ -285,8 +285,5 @@ def memcache_key_warnings(key):
         )
     for char in key:
         if ord(char) < 33 or ord(char) == 127:
-            yield (
-                'Cache key contains characters that will cause errors if '
-                'used with memcached: %r' % key, CacheKeyWarning
-            )
-            break
+            yield 'Cache key contains characters that will cause errors if ' \
+                  'used with memcached: %r' % key
diff --git a/tests/i18n/sampleproject/sampleproject/settings.py b/tests/i18n/sampleproject/sampleproject/settings.py
index e69de29bb2..0c69262ba3 100644
--- a/tests/i18n/sampleproject/sampleproject/settings.py
+++ b/tests/i18n/sampleproject/sampleproject/settings.py
@@ -0,0 +1,116 @@
+
+""""""
+Django settings for sampleproject project.
+
+Generated by 'django-admin startproject' using Django 2.2.13.
+""""""
+
+import os
+
+# Build paths inside the project like this: os.path.join(BASE_DIR, ...)
+BASE_DIR = os.path.dirname(os.path.dirname(os.path.abspath(__file__)))
+
+# Quick-start development settings - unsuitable for production
+# See https://docs.djangoproject.com/en/2.2/howto/deployment/checklist/
+
+# SECURITY WARNING: keep the secret key used in production secret!
+SECRET_KEY = 'your-secret-key'
+
+# SECURITY WARNING: don't run with debug turned on in production!
+DEBUG = True
+
+ALLOWED_HOSTS = []
+
+# Application definition
+
+INSTALLED_APPS = [
+    'django.contrib.admin',
+    'django.contrib.auth',
+    'django.contrib.contenttypes',
+    'django.contrib.sessions',
+    'django.contrib.messages',
+    'django.contrib.staticfiles',
+]
+
+MIDDLEWARE = [
+    'django.middleware.security.SecurityMiddleware',
+    'django.contrib.sessions.middleware.SessionMiddleware',
+    'django.middleware.common.CommonMiddleware',
+    'django.middleware.csrf.CsrfViewMiddleware',
+    'django.contrib.auth.middleware.AuthenticationMiddleware',
+    'django.contrib.messages.middleware.MessageMiddleware',
+    'django.middleware.clickjacking.XFrameOptionsMiddleware',
+]
+
+ROOT_URLCONF = 'sampleproject.urls'
+
+TEMPLATES = [
+    {
+        'BACKEND': 'django.template.backends.django.DjangoTemplates',
+        'DIRS': [],
+        'APP_DIRS': True,
+        'OPTIONS': {
+            'context_processors': [
+                'django.template.context_processors.debug',
+                'django.template.context_processors.request',
+                'django.contrib.auth.context_processors.auth',
+                'django.contrib.messages.context_processors.messages',
+            ],
+        },
+    },
+]
+
+WSGI_APPLICATION = 'sampleproject.wsgi.application'
+
+# Database
+# https://docs.djangoproject.com/en/2.2/ref/settings/#databases
+
+DATABASES = {
+    'default': {
+        'ENGINE': 'django.db.backends.sqlite3',
+        'NAME': os.path.join(BASE_DIR, 'db.sqlite3'),
+    }
+}
+
+# Password validation
+# https://docs.djangoproject.com/en/2.2/ref/settings/#auth-password-validators
+
+AUTH_PASSWORD_VALIDATORS = [
+    {
+        'NAME': 'django.contrib.auth.password_validation.UserAttributeSimilarityValidator',
+    },
+    {
+        'NAME': 'django.contrib.auth.password_validation.MinimumLengthValidator',
+    },
+    {
+        'NAME': 'django.contrib.auth.password_validation.CommonPasswordValidator',
+    },
+    {
+        'NAME': 'django.contrib.auth.password_validation.NumericPasswordValidator',
+    },
+]
+
+# Internationalization
+# https://docs.djangoproject.com/en/2.2/topics/i18n/
+
+LANGUAGE_CODE = 'en-us'
+
+TIME_ZONE = 'UTC'
+
+USE_I18N = True
+
+USE_L10N = True
+
+USE_TZ = True
+
+# Static files (CSS, JavaScript, Images)
+# https://docs.djangoproject.com/en/2.2/howto/static-files/
+
+STATIC_URL = '/static/'
+
+# Cache configuration
+CACHES = {
+    'default': {
+        'BACKEND': 'django.core.cache.backends.locmem.LocMemCache',
+    }
+}
",pass,django/django
django__django-13230,"diff --git a/django/contrib/syndication/views.py b/django/contrib/syndication/views.py
index 68ffb0bfe0..c7286b7ab8 100644
--- a/django/contrib/syndication/views.py
+++ b/django/contrib/syndication/views.py
@@ -165,7 +165,7 @@ class Feed:
             except TemplateDoesNotExist:
                 pass
 
-        for item in self._get_dynamic_attr('items', obj):
+        for item in self._get_dynamic_attr('items', obj, []):
             context = self.get_context_data(item=item, site=current_site,
                                             obj=obj, request=request)
             if title_tmp is not None:
@@ -213,6 +213,7 @@ class Feed:
                 author_email=author_email,
                 author_link=author_link,
                 categories=self._get_dynamic_attr('item_categories', item),
+                comments=self._get_dynamic_attr('item_comments', item),
                 item_copyright=self._get_dynamic_attr('item_copyright', item),
                 **self.item_extra_kwargs(item)
             )
",pass,django/django
django__django-13251,"diff --git a/django/db/models/query.py b/django/db/models/query.py
index 07d6ffd4ca..783216b7fb 100644
--- a/django/db/models/query.py
+++ b/django/db/models/query.py
@@ -949,7 +949,7 @@ class QuerySet:
         self._not_support_combined_queries('exclude')
         return self._filter_or_exclude(True, *args, **kwargs)
 
-    def _filter_or_exclude(self, negate, *args, **kwargs):
+    def _filter_or_exclude(self, negation, *args, **kwargs):
         if args or kwargs:
             assert not self.query.is_sliced, \
                 ""Cannot filter a query once a slice has been taken.""
@@ -957,13 +957,13 @@ class QuerySet:
         clone = self._chain()
         if self._defer_next_filter:
             self._defer_next_filter = False
-            clone._deferred_filter = negate, args, kwargs
+            clone._deferred_filter = negation, args, kwargs
         else:
-            clone._filter_or_exclude_inplace(negate, *args, **kwargs)
+            clone._filter_or_exclude_inplace(negation, *args, **kwargs)
         return clone
 
-    def _filter_or_exclude_inplace(self, negate, *args, **kwargs):
-        if negate:
+    def _filter_or_exclude_inplace(self, negation, *args, **kwargs):
+        if negation:
             self._query.add_q(~Q(*args, **kwargs))
         else:
             self._query.add_q(Q(*args, **kwargs))
",pass,django/django
django__django-13281,"diff --git a/django/db/models/base.py b/django/db/models/base.py
index 3792ffb90e..c00fa50156 100644
--- a/django/db/models/base.py
+++ b/django/db/models/base.py
@@ -504,6 +504,14 @@ class Model(metaclass=ModelBase):
         super().__init__()
         post_init.send(sender=cls, instance=self)
 
+    def __copy__(self):
+        # Create a new instance of the model
+        new_instance = self.__class__()
+        # Explicitly deep copy the _state.fields_cache
+        new_instance._state.fields_cache = copy.deepcopy(self._state.fields_cache)
+        # Copy other necessary attributes if needed
+        return new_instance
+
     @classmethod
     def from_db(cls, db, field_names, values):
         if len(values) != len(cls._meta.concrete_fields):
",pass,django/django
django__django-13347,"diff --git a/django/views/debug.py b/django/views/debug.py
index 68dba4b500..92c82aa6a5 100644
--- a/django/views/debug.py
+++ b/django/views/debug.py
@@ -91,7 +91,7 @@ class SafeExceptionReporterFilter:
         value is a dictionary, recursively cleanse the keys in that dictionary.
         """"""
         try:
-            if self.hidden_settings.search(key):
+            if isinstance(key, str) and self.hidden_settings.search(key):
                 cleansed = self.cleansed_substitute
             elif isinstance(value, dict):
                 cleansed = {k: self.cleanse_setting(k, v) for k, v in value.items()}
",pass,django/django
django__django-13363,"diff --git a/django/db/models/functions/datetime.py b/django/db/models/functions/datetime.py
index b6594b043b..6828980733 100644
--- a/django/db/models/functions/datetime.py
+++ b/django/db/models/functions/datetime.py
@@ -292,7 +292,7 @@ class TruncDate(TruncBase):
     def as_sql(self, compiler, connection):
         # Cast to date rather than truncate to date.
         lhs, lhs_params = compiler.compile(self.lhs)
-        tzname = timezone.get_current_timezone_name() if settings.USE_TZ else None
+        tzname = self.get_tzname()
         sql = connection.ops.datetime_cast_date_sql(lhs, tzname)
         return sql, lhs_params
 
@@ -305,7 +305,7 @@ class TruncTime(TruncBase):
     def as_sql(self, compiler, connection):
         # Cast to time rather than truncate to time.
         lhs, lhs_params = compiler.compile(self.lhs)
-        tzname = timezone.get_current_timezone_name() if settings.USE_TZ else None
+        tzname = self.get_tzname()
         sql = connection.ops.datetime_cast_time_sql(lhs, tzname)
         return sql, lhs_params
 
",pass,django/django
django__django-13447,"diff --git a/django/contrib/admin/sites.py b/django/contrib/admin/sites.py
index 837dabfea8..433aa06241 100644
--- a/django/contrib/admin/sites.py
+++ b/django/contrib/admin/sites.py
@@ -430,7 +430,7 @@ class AdminSite:
                     return HttpResponsePermanentRedirect(path)
         raise Http404
 
-    def _build_app_dict(self, request, label=None):
+    def build_app_dict(self, request, label=None):
         """"""
         Build the app dictionary. The optional `label` parameter filters models
         of a specific app.
@@ -479,6 +479,8 @@ class AdminSite:
                 except NoReverseMatch:
                     pass
 
+            model_dict['model'] = model
+
             if app_label in app_dict:
                 app_dict[app_label]['models'].append(model_dict)
             else:
@@ -503,7 +505,7 @@ class AdminSite:
         Return a sorted list of all the installed apps that have been
         registered in this site.
         """"""
-        app_dict = self._build_app_dict(request)
+        app_dict = self.build_app_dict(request)
 
         # Sort the apps alphabetically.
         app_list = sorted(app_dict.values(), key=lambda x: x['name'].lower())
@@ -534,7 +536,7 @@ class AdminSite:
         return TemplateResponse(request, self.index_template or 'admin/index.html', context)
 
     def app_index(self, request, app_label, extra_context=None):
-        app_dict = self._build_app_dict(request, app_label)
+        app_dict = self.build_app_dict(request, app_label)
         if not app_dict:
             raise Http404('The requested admin page does not exist.')
         # Sort the models alphabetically within each app.
",pass,django/django
